DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Feb-2026,EQ,"4,200.50","4,252.10","4,200.20","4,198.20","4,232.00","4,236.40","4,239.50","4,378.40","2,925.00",532169,"2,25,61,28,873.50",45975
19-Feb-2026,EQ,"4,225.00","4,261.00","4,191.00","4,248.60","4,197.50","4,198.20","4,225.08","4,378.40","2,925.00",406232,"1,71,63,61,201.70",30185
18-Feb-2026,EQ,"4,251.00","4,257.90","4,214.30","4,236.40","4,251.00","4,248.60","4,244.49","4,378.40","2,925.00",387328,"1,64,40,10,703.10",41417
17-Feb-2026,EQ,"4,167.10","4,244.90","4,155.00","4,181.10","4,236.00","4,236.40","4,222.66","4,378.40","2,925.00",464123,"1,95,98,31,667.10",44562
16-Feb-2026,EQ,"4,155.00","4,196.00","4,128.80","4,179.20","4,172.00","4,181.10","4,170.40","4,378.40","2,925.00",500349,"2,08,66,54,574.90",45402
13-Feb-2026,EQ,"4,267.30","4,271.80","4,164.80","4,275.80","4,175.00","4,179.20","4,215.93","4,378.40","2,925.00",524758,"2,21,23,41,354.20",54022
12-Feb-2026,EQ,"4,232.40","4,286.40","4,182.30","4,249.10","4,267.00","4,275.80","4,245.22","4,378.40","2,925.00",998509,"4,23,88,90,373.50",82172
11-Feb-2026,EQ,"4,350.00","4,378.40","4,208.00","4,269.10","4,238.00","4,249.10","4,287.64","4,378.40","2,925.00",3342226,"14,33,02,75,044.10",200651
10-Feb-2026,EQ,"4,300.00","4,329.60","4,239.60","4,257.80","4,293.80","4,269.10","4,281.93","4,329.60","2,925.00",1713633,"7,33,76,60,108.00",111431
09-Feb-2026,EQ,"4,200.20","4,269.40","4,155.00","4,141.00","4,267.00","4,257.80","4,223.31","4,312.10","2,925.00",1092387,"4,61,34,84,606.30",73392
06-Feb-2026,EQ,"4,097.60","4,154.00","4,065.30","4,097.60","4,140.80","4,141.00","4,122.54","4,312.10","2,925.00",888701,"3,66,37,04,991.70",72975
05-Feb-2026,EQ,"4,152.30","4,152.30","4,063.10","4,144.00","4,106.70","4,097.60","4,091.05","4,312.10","2,925.00",693637,"2,83,77,04,631.00",49485
04-Feb-2026,EQ,"4,087.00","4,160.00","4,066.20","4,068.60","4,135.10","4,144.00","4,131.62","4,312.10","2,925.00",917279,"3,78,98,47,059.50",67222
03-Feb-2026,EQ,"4,143.00","4,143.00","4,044.10","3,953.20","4,080.30","4,068.60","4,080.43","4,312.10","2,925.00",1043274,"4,25,70,09,744.80",90644
02-Feb-2026,EQ,"4,000.00","4,000.00","3,893.30","3,985.30","3,961.80","3,953.20","3,934.73","4,312.10","2,925.00",1273196,"5,00,96,86,663.30",97721
01-Feb-2026,EQ,"3,988.00","4,143.50","3,870.40","3,977.40","3,944.00","3,985.30","4,022.90","4,312.10","2,925.00",1114181,"4,48,22,33,497.30",70200
30-Jan-2026,EQ,"3,945.00","3,995.00","3,909.80","3,939.70","3,982.10","3,977.40","3,966.09","4,312.10","2,925.00",1427639,"5,66,21,42,860.30",72896
29-Jan-2026,EQ,"3,960.80","3,968.60","3,843.10","3,975.20","3,945.00","3,939.70","3,900.15","4,312.10","2,925.00",1145612,"4,46,80,55,391.20",142577
28-Jan-2026,EQ,"4,002.00","4,025.80","3,964.90","3,997.00","3,980.00","3,975.20","3,983.13","4,312.10","2,925.00",809022,"3,22,24,39,594.00",61761
27-Jan-2026,EQ,"4,021.80","4,040.00","3,955.00","4,021.80","4,003.00","3,997.00","3,993.26","4,312.10","2,925.00",1760501,"7,03,01,38,323.70",110670
23-Jan-2026,EQ,"4,025.10","4,063.30","3,980.00","4,018.60","4,020.20","4,021.80","4,037.23","4,312.10","2,925.00",1015415,"4,09,94,67,780.70",82609
22-Jan-2026,EQ,"4,099.00","4,128.00","3,980.80","4,079.20","4,022.10","4,018.60","4,026.50","4,312.10","2,925.00",818966,"3,29,75,68,404.40",65636
21-Jan-2026,EQ,"4,075.50","4,109.90","4,053.50","4,075.50","4,090.70","4,079.20","4,079.31","4,312.10","2,925.00",552760,"2,25,48,81,652.90",87111
20-Jan-2026,EQ,"4,155.00","4,155.00","4,064.30","4,144.10","4,070.00","4,075.50","4,101.88","4,312.10","2,925.00",586156,"2,40,43,42,207.70",73277
19-Jan-2026,EQ,"4,165.70","4,207.40","4,129.10","4,196.90","4,140.00","4,144.10","4,155.78","4,312.10","2,925.00",365905,"1,52,06,20,577.20",49384
16-Jan-2026,EQ,"4,221.50","4,236.40","4,181.10","4,221.50","4,194.40","4,196.90","4,211.01","4,312.10","2,925.00",686949,"2,89,27,51,563.80",69324
14-Jan-2026,EQ,"4,241.90","4,283.00","4,211.00","4,239.20","4,215.00","4,221.50","4,244.05","4,312.10","2,925.00",998692,"4,23,85,03,322.30",66594
13-Jan-2026,EQ,"4,231.60","4,267.60","4,210.00","4,231.60","4,233.50","4,239.20","4,245.02","4,312.10","2,925.00",770707,"3,27,16,69,713.20",48583
12-Jan-2026,EQ,"4,205.00","4,242.00","4,145.00","4,201.80","4,228.60","4,231.60","4,194.15","4,312.10","2,925.00",514767,"2,15,90,11,700.90",64099
09-Jan-2026,EQ,"4,231.00","4,279.00","4,183.10","4,249.00","4,205.00","4,201.80","4,214.65","4,312.10","2,925.00",883117,"3,72,20,30,066.90",64035
08-Jan-2026,EQ,"4,273.20","4,303.20","4,239.00","4,273.20","4,242.20","4,249.00","4,270.85","4,312.10","2,925.00",1055725,"4,50,88,45,482.00",78371
07-Jan-2026,EQ,"4,225.00","4,312.10","4,202.00","4,111.80","4,273.90","4,273.20","4,275.23","4,312.10","2,925.00",3496340,"14,94,76,44,025.70",201910
06-Jan-2026,EQ,"4,079.70","4,120.50","4,068.50","4,079.70","4,112.00","4,111.80","4,100.58","4,120.50","2,925.00",820331,"3,36,38,33,259.30",54530
05-Jan-2026,EQ,"4,051.70","4,094.00","4,046.00","4,051.70","4,076.00","4,079.70","4,078.84","4,094.00","2,925.00",629273,"2,56,67,03,033.80",48473
02-Jan-2026,EQ,"4,039.00","4,060.00","3,986.20","4,049.30","4,050.30","4,051.70","4,038.19","4,068.00","2,925.00",659997,"2,66,51,90,286.80",49671
01-Jan-2026,EQ,"4,063.70","4,068.00","4,035.70","4,051.50","4,049.40","4,049.30","4,052.33","4,068.00","2,925.00",444679,"1,80,19,84,173.70",46443
31-Dec-2025,EQ,"3,984.00","4,061.90","3,975.10","3,974.10","4,048.00","4,051.50","4,047.56","4,061.90","2,925.00",1358731,"5,49,95,42,591.70",75944
30-Dec-2025,EQ,"3,982.00","3,993.50","3,954.10","3,983.70","3,973.00","3,974.10","3,978.61","4,031.70","2,925.00",1169570,"4,65,32,63,576.10",81600
29-Dec-2025,EQ,"4,010.00","4,031.70","3,978.00","3,992.00","3,985.00","3,983.70","4,006.24","4,031.70","2,925.00",1242846,"4,97,91,33,601.00",104232
26-Dec-2025,EQ,"3,908.90","4,006.90","3,900.00","3,909.30","3,994.00","3,992.00","3,980.01","4,006.90","2,925.00",1113050,"4,42,99,46,017.10",71810
24-Dec-2025,EQ,"3,925.80","3,935.00","3,900.00","3,925.80","3,920.00","3,909.30","3,912.46","3,961.90","2,925.00",399227,"1,56,19,57,934.90",27447
23-Dec-2025,EQ,"3,933.80","3,956.30","3,916.40","3,933.80","3,916.60","3,925.80","3,937.52","3,961.90","2,925.00",445656,"1,75,47,79,175.00",38814
22-Dec-2025,EQ,"3,940.00","3,950.80","3,917.10","3,930.10","3,928.20","3,933.80","3,935.00","3,961.90","2,925.00",569521,"2,24,10,67,512.50",59275
19-Dec-2025,EQ,"3,919.00","3,961.90","3,913.00","3,919.30","3,933.50","3,930.10","3,937.88","3,961.90","2,925.00",730780,"2,87,77,27,024.30",73468
18-Dec-2025,EQ,"3,900.00","3,924.00","3,890.10","3,907.90","3,919.90","3,919.30","3,909.92","3,956.00","2,925.00",516547,"2,01,96,56,248.20",46918
17-Dec-2025,EQ,"3,930.00","3,935.70","3,890.00","3,929.50","3,906.90","3,907.90","3,913.18","3,956.00","2,925.00",601010,"2,35,18,58,656.60",56339
16-Dec-2025,EQ,"3,850.00","3,937.50","3,828.00","3,866.20","3,930.00","3,929.50","3,904.79","3,956.00","2,925.00",1560827,"6,09,47,05,839.20",91372
15-Dec-2025,EQ,"3,861.30","3,876.40","3,850.00","3,880.20","3,855.00","3,866.20","3,863.41","3,956.00","2,925.00",332337,"1,28,39,54,565.70",36163
12-Dec-2025,EQ,"3,844.80","3,894.80","3,831.90","3,844.80","3,871.00","3,880.20","3,875.31","3,956.00","2,925.00",547866,"2,12,31,50,900.80",45620
11-Dec-2025,EQ,"3,830.40","3,855.80","3,777.00","3,845.70","3,850.00","3,844.80","3,830.09","3,956.00","2,925.00",669180,"2,56,30,19,540.30",49602
10-Dec-2025,EQ,"3,831.00","3,858.20","3,825.60","3,849.00","3,830.40","3,845.70","3,843.07","3,956.00","2,925.00",616248,"2,36,82,82,974.40",50470
09-Dec-2025,EQ,"3,775.00","3,874.00","3,751.00","3,767.00","3,840.10","3,849.00","3,834.45","3,956.00","2,925.00",1121068,"4,29,86,81,982.90",92653
08-Dec-2025,EQ,"3,796.30","3,825.00","3,758.10","3,813.30","3,760.50","3,767.00","3,792.22","3,956.00","2,925.00",545864,"2,07,00,35,083.90",80449
